          #idx  pdb  both ica1 ica2 s2     sim1     sim2     rms1     rms2    xr      res  cofp  brkp  totw   iw l_b1 l_b2
        807522 2ido False   63   59  0    1.000    1.000    0.440    6.680  True    2.100  True  True   248    5  172   75
        832526 2jbg False   58   81  0    1.000    1.000    0.290    1.290  True    2.200  True  True   196   15  121  172
        866972 2ozn False   53   41  0    1.000    0.000    0.810    0.000  True    1.600  True  True   246    7  133  131
        881331 2ptt False   45   51  0    0.960    0.980    0.480    3.900  True    1.630  True  True   188    7  103  108
        961366 2vdu False   71   62  0    1.000    0.000    6.860    0.000  True    2.400  True  True   198    5  402  376
        969940 2vxq  True   44   63  0    1.000    0.650    0.490    2.910  True    1.900  True  True   284    5   92  426
        999188 2wy3 False   68   66  0    1.000    0.000    1.360    0.000  True    1.800  True  True   341    6  173  137
        999193 2wy7  True   50   42  0    1.000    1.000    0.430    2.450  True    1.700  True  True   217    8  291   66
        999285 2wy8 False   63   48  0    1.000    1.000    0.460    4.200  True    1.700  True  True   224    7  292   66
       1009506 2xgy False   39   63  0    1.000    1.000    3.100    0.240  True    1.800  True  True   112    6  129  165
       1016644 2xwt False   78   97  0    0.640    0.000    2.430    0.000  True    1.900  True  True   587   14  428  234
       1019364 2y1l  True   66   84  0    1.000    0.800    0.600    1.160  True    1.800  True  True   485    7  148  156
       1022601 2yc1 False   39   66  0    1.000    0.000    1.440    0.000  True    1.900  True  True   431   12   65  225
       1132533 3chw False   71   71  0    0.990    1.000    0.750    0.730  True    2.300  True  True   302    7  360  139
       1138097 3cqx False   63   53  0    1.000    0.870    0.700    0.840  True    2.300  True  True   182    6  377  165
       1185415 3f1p  True   68   66  0    0.930    0.980    1.490    3.540  True    1.170  True  True   253   13  114  111
       1190811 3f62 False   61   50  0    0.980    0.000    2.070    0.000  True    2.000  True  True    82    5  145  108
       1220407 3gcg False   64   97  0    0.980    0.000    2.070    0.000  True    2.300  True  True   108   14  173  152
       1318709 3kf6 False   52   58  0    0.900    0.000    0.960    0.000  True    1.650  True  True    68    6  105  136
       1341290 3l9j False   49   38  0    1.000    0.000    1.830    0.000  True    2.100  True  True   126    5  149  130
       1351640 3m18 False   95   58  0    0.930    1.000    0.370    0.280  True    1.950  True  True   181   18  245  127
       1356997 3ma9  True   80   70  0    0.950    0.590    0.880    2.910  True    2.050  True  True   224    7  197  423
       1392118 3o2d False   71   66  0    1.000    0.000    0.930    0.000  True    2.190  True  True   213   14  178  438
       1416835 3p9w False   50   52  0    1.000    0.710    0.540    3.490  True    2.410  True  True   183    9   96  123
       1470943 3rep False   49   54  0    1.000    0.000    3.040    0.000  True    1.800  True  True   250    5  124  268
       1476659 3rkd False   61   54  0    1.000    0.000    0.860    0.000  True    1.900  True  True   608   11  146  431
       1479173 3rnk  True   59   57  0    1.000    1.000    1.230    2.300  True    1.740  True  True   102    7  112  104
       1531124 3tdz False   53   41  0    1.000    0.930    0.750    0.720  True    2.000  True  True   449    5  191   76
       1550689 3u30 False   58   63  0    1.000    0.750    7.350    1.750  True    2.430  True  True   151   10  149  429
       1562765 3ufx False  129  135  0    0.850    0.000    2.040    0.000  True    2.350  True  True   521    9  288  378
       1585534 3v6o False   58   39  0    1.000    0.000    0.940    0.000  True    1.950  True  True   353    9  432  181
       1634511 3wih False   49   60  0    0.940    1.000    1.040    0.580  True    1.700  True  True   472    5   88  432
       1647511 3wwt False   53   60  0    1.000    0.000    0.620    0.000  True    2.000  True  True    61    5  123  107
       1656855 3zdm False   46   33  0    1.000    1.000    0.750    0.770  True    1.800  True  True   211    5  119   79
       1676931 4a5u False   47   47  0    1.000    0.000    0.280    0.000  True    2.000  True  True    78    9  148   80
       1679442 4ag1 False   88   43  0    1.000    0.840    0.450    1.250  True    1.400  True  True   190    6  221   62
       1711706 4bl7 False   90   72  0    0.920    0.000    0.910    0.000  True    1.890  True  True   135   12  167  208
       1734109 4cmh False   82   70  0    1.000    0.000    1.090    0.000  True    1.530  True  True   315    9  240  429
       1738478 4czx  True   59   40  0    1.000    0.950    0.240    2.620  True    1.850  True  True   113    5  324  206
       1742718 4dck False   81   72  0    0.930    1.000    4.610    0.880  True    2.200  True  True    19    5  287  148
       1769065 4dtg False   50   65  0    1.000    0.000    0.940    0.000  True    1.800  True  True   101   12   60  440
       1775667 4e5x False   72   51  0    1.000    0.000    0.780    0.000  True    1.950  True  True   353    7  375   99
       1841963 4g6m False   52   58  0    1.000    1.000    0.540    0.480  True    1.810  True  True   226    8  150  433
       1844011 4g7x False   51   54  0    1.000    0.000    1.800    0.000  True    1.440  True  True   196   12   92  102
       1878594 4hcr False   52   73  0    1.000    0.000    2.030    0.000  True    2.300  True  True   792   10  194  435
       1879244 4hem False   78   44  0    1.000    0.000    0.540    0.000  True    1.650  True  True   407   12  391  121
       1893064 4hpl False   64   66  0    0.970    0.000    9.290    0.000  True    2.000  True  True    73   10  113   83
       1920169 4imi  True  104   64  0    0.760    1.000    0.470    0.650  True    2.350  True  True    26    6  332  192
       1929773 4j7b False   57   82  0    0.980    0.000    0.610    0.000  True    2.300  True  True   161    7  284  262
       1935645 4je4 False   59   51  0    1.000    0.730    0.570    2.100  True    2.310  True  True    85   12  102   93
       1961562 4k12 False   37   45  0    1.000    0.000    0.860    0.000  True    1.080  True  True   244    8   82   64
       1983236 4kt6 False   84  100  0    0.870    0.000    8.630    0.000  True    1.710  True  True   430   18  161  254
       2007217 4lgr False   46   45  0    1.000    0.000    0.470    0.000  True    1.650  True  True   137    6  253  122
       2028006 4m1g False   34   55  0    0.970    0.000    0.550    0.000  True    1.600  True  True   477    7   80  430
       2035756 4ma7 False   34   54  0    1.000    0.000    1.910    0.000  True    1.970  True  True   119    8  110  431
       2072574 4n6r False   83   99  0    1.000    0.000    0.760    0.000  True    2.200  True  True   209    9  151  198
       2075601 4n9o False   40   43  0    0.850    0.000    2.530    0.000  True    1.500  True  True   169    6  107  124
       2075943 4nbx False   54   42  0    0.960    0.000    0.770    0.000  True    1.750  True  True   196   11  143  123
       2075956 4nby False   51   42  0    1.000    0.000    0.490    0.000  True    2.080  True  True   205   11  248  123
       2109203 4nrh False   73   52  0    0.990    0.000    1.140    0.000  True    2.200  True  True    56    5  289  170
       2156194 4p78 False   63   57  0    0.980    0.000    1.540    0.000  True    2.120  True  True    80    8  172   66
       2207176 4qaf False   64   55  0    0.980    0.000    1.210    0.000  True    1.800  True  True   134    6  191  109
       2211706 4qlp False  123  118  0    0.980    0.000    0.750    0.000  True    1.100  True  True   608   19  175  199
       2241740 4rgo False   57   68  0    0.980    0.000    0.780    0.000  True    1.800  True  True   259   10  225  425
       2259292 4tsb False   47   62  0    1.000    0.760    0.370    2.640  True    1.950  True  True   329    8  129  429
       2271600 4txv  True   76   54  0    0.990    0.980    0.280    3.370  True    2.000  True  True   163    8  175  142
       2305474 4uhp False   50   49  0    1.000    0.000    0.770    0.000  True    2.000  True  True   459   10  128   87
       2331589 4wem False   73   42  0    0.880    0.000   11.210    0.000  True    1.550  True  True   185   12  248  121
       2339372 4wkz False   68   58  0    0.930    0.000    0.420    0.000  True    1.790  True  True   198    6  184  231
       2458148 5a6w False   69   52  0    0.970    0.000    1.120    0.000  True    1.600  True  True   109   13  144   83
       2509747 5bv7 False   69   66  0    0.990    0.000    0.960    0.000  True    2.450  True  True    83   10  377  432
       2525718 5c50 False   96   89  0    1.000    0.000    0.640    0.000  True    1.630  True  True   126   13  198  185
       2566089 5czx  True   52   67  0    1.000    0.670    0.680    2.040  True    2.100  True  True   469    7  227  428
       2573064 5d2m False   46   39  0    1.000    0.000    0.820    0.000  True    2.400  True  True   587    6  157  158
       2583539 5d93 False   48   62  0    0.960    0.690    0.510    1.630  True    2.200  True  True   622   10  240  419
       2584164 5dc4 False   59   51  0    1.000    0.000    2.500    0.000  True    1.480  True  True   115    6  100   92
       2587343 5djt False   62   41  0    0.980    0.000    1.700    0.000  True    1.400  True  True   197    8  144   59
       2590613 5doi False   50   52  0    0.900    0.000    9.390    0.000  True    2.200  True  True   403    5  153   93
       2612091 5ee4 False   63  111  0    1.000    1.000    2.500    0.530  True    2.300  True  True   314    9  297  287
       2614881 5elu False   37   42  0    0.730    1.000    2.610    0.800  True    2.350  True  True    96    5   91   75
       2629304 5f1k False   62   49  0    1.000    0.000    1.220    0.000  True    2.300  True  True   242    6  244  123
       2633760 5f72 False   86   71  0    1.000    0.000    0.410    0.000  True    1.850  True  True   525    9  285  226
       2654512 5ggs False   78   56  0    0.580    1.000    2.880    2.320  True    2.000  True  True   416    7  436  113
       2679338 5h5z False   75  126  0    0.960    0.000    0.970    0.000  True    1.740  True  True   167   11   98  284
       2739227 5iwb False   63   62  0    0.920    1.000    0.580    1.950  True    1.760  True  True   171    6  109  117
       2748505 5j3t  True   64  100  0    0.890    1.000    2.990    9.220  True    1.600  True  True    52    7  151  230
       2758533 5jds False   46   37  0    0.980    0.000    1.290    0.000  True    1.700  True  True   142    7  115  127
       2817059 5kvf False   54   63  0    1.000    0.750    3.020    1.830  True    1.400  True  True   472   11  105  440
       2817701 5kw9 False   53   52  0    0.960    0.730    0.870    3.170  True    2.300  True  True   125    7  289  434
       2824037 5l21 False   91   66  0    0.990    0.000    0.870    0.000  True    1.680  True  True   211    9  425  119
       2835993 5lb7 False   69   75  0    0.910    0.000    1.700    0.000  True    1.500  True  True    93    6   78  166
       2863671 5m2o False   49   45  0    0.940    0.000    0.340    0.000  True    1.260  True  True   307    9  137   74
       2906669 5o02 False   39   35  0    1.000    0.000    0.470    0.000  True    1.720  True  True   370    5  304  124
       3015087 5vag False   74   70  0    0.690    0.000    2.340    0.000  True    1.900  True  True    50    9  435  209
       3060303 5wca False  126  130  0    0.880    0.920    4.490    3.100  True    1.370  True  True   603   21  226  211
       3083494 5wvo False   48   62  0    0.980    0.790    0.610    3.080  True    2.000  True  True   157    6   76  232
       3121036 6app False   32   41  0    1.000    0.000    0.720    0.000  True    1.750  True  True   274    6  115   64
       3123137 6azz False   48   83  0    1.000    0.770    0.900    1.700  True    2.400  True  True   209   11  167  432
         30645 1ay7  True   40   42  0    1.000    1.000    0.450    0.890  True    1.700  True  True    81    5   96   89
        163794 1gpq  True   67   65  0    0.990    1.000    1.400    0.280  True    1.600  True  True   532   10  255  128
        163798 1gpq  True   65   63  0    0.980    1.000    1.310    0.260  True    1.600  True  True   532   16  255  127
        265917 1lfd  True   34   44  0    1.000    0.980    1.810    0.530  True    2.100  True  True   204    5   87  167
        362097 1p2c  True   57   42  0    1.000    1.000    0.480    0.290  True    2.000  True  True   650    7  422  129
        546615 1v7p  True   82   58  0    1.000    1.000    0.380    0.210  True    1.900  True  True   371   15  261  193
        547067 1vfb  True   61   43  0    1.000    1.000    0.350    0.810  True    1.800  True  True    24    6  223  129
        561029 1wrd  True   41   34  0    1.000    1.000    1.060    0.790  True    1.750  True  True   157    6   98   76
        798485 2hqs  True  110   56  0    1.000    0.980    1.070    0.600  True    1.500  True  True  2022   15  412  108
        802413 2i25  True   60   35  0    1.000    1.000    0.280    1.710  True    1.800  True  True   127    7  129  114
        846507 2nqd  True   50   80  0    1.000    1.000    0.850    0.260  True    1.750  True  True   374    7  109  221
        923300 2uyz  True   43   42  0    1.000    1.000    0.320    1.270  True    1.400  True  True   368    9  156   78
        976649 2wbw  True   58   58  0    1.000    1.000    0.580    0.430  True    1.550  True  True   331   13  182  120
       1320271 3kld  True   76   42  0    1.000    1.000    0.610    1.520  True    2.000  True  True   253    6  376  262
       1476404 3rj3  True   75   50  0    1.000    1.000    0.370    0.760  True    2.350  True  True   121    5  292  125
       1626879 3w9e  True   67   74  0    1.000    0.950    1.110    0.770  True    2.300  True  True    43    5  426  229
       1633652 3wdg  True   69   65  0    1.000    0.940    0.410    1.250  True    2.200  True  True   280   13  216  110
       1711270 4bi8  True   52   70  0    1.000    1.000    0.410    0.920  True    2.000  True  True   174    7   94  163
       1869419 4h8w  True   63   60  0    1.000    1.000    0.480    0.370  True    1.850  True  True   249    8  337  424
       1921630 4ioi  True   46   36  0    1.000    1.000    0.330    0.610  True    1.950  True  True   254    5  434   53
       1941817 4jhp  True   50   91  0    1.000    0.990    0.380    0.710  True    1.900  True  True   252    7  142  362
       1992251 4l5n  True   63   61  0    1.000    0.920    0.370    1.600  True    2.160  True  True   125   10  229   99
       2159550 4pj2  True   44   70  0    1.000    1.000    0.430    1.000  True    1.240  True  True   317    7  121  122
       2408133 4ydy  True   77   59  0    1.000    1.000    0.420    1.480  True    2.000  True  True   205    8  157  123
       2510377 5bvp  True   72   55  0    1.000    1.000    0.340    1.430  True    2.200  True  True    69    6  432  149
       2540227 5cec  True   84  105  0    1.000    1.000    1.850    0.580  True    1.360  True  True   400   19  401  193
       3004216 5v1y  True   38   35  0    1.000    1.000    1.430    0.710  True    1.420  True  True   292    6  114   72
